,id,title,year,runtimeMins,awards,directors,writers,stars,genres,companies,countries,contentRating,imDbRating,imDbRatingVotes,budget,openingWeekendUSA,grossUSA,cumulativeWorldwideGross
0,tt2386404,He Never Died,2015,99,"Awards, 3 nominations",Jason Krawczyk,Jason Krawczyk,"Henry Rollins, Booboo Stewart, Kate Greenhouse","Comedy, Drama, Fantasy",Alternate Ending Studios,Canada,R,6.3,20634,,,,
1,tt1016024,Battle Planet,2008,85,,Greg Aronowitz,Greg Aronowitz,"Zack Ward, Monica May, Colleen Smith",Sci-Fi,"CBS Europa, Night Light Films",USA,Unrated,3.8,920,,,,
2,tt0403508,The Sisterhood of the Traveling Pants,2005,119,"Awards, 1 win & 14 nominations",Ken Kwapis,"Ann Brashares, Delia Ephron, Elizabeth Chandler","Amber Tamblyn, Alexis Bledel, America Ferrera","Comedy, Drama, Romance","Alcon Entertainment, DiNovi Pictures, Alloy Entertainment",USA,PG,6.5,60945,"$25,000,000 (estimated)","$9,833,340","$39,053,061","$42,013,878"
3,tt0114720,Tremors II: Aftershocks,1996,100,"Awards, 2 nominations",S.S. Wilson,"Brent Maddock, S.S. Wilson, Ron Underwood","Fred Ward, Chris Gartin, Helen Shaver","Action, Comedy, Horror","MCA/Universal Pictures, Stampede Entertainment",USA,PG-13,5.9,30621,"$4,000,000 (estimated)",,,
4,tt0183790,A Knight's Tale,2001,132,"Awards, 4 wins & 13 nominations",Brian Helgeland,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell","Action, Adventure, Romance","Columbia Pictures, Escape Artists, Finestkind",USA,PG-13,6.9,186607,"$65,000,000 (estimated)","$16,511,391","$56,569,702","$117,487,473"
5,tt0276751,About a Boy,2002,101,"Nominated for 1 Oscar, 11 wins & 30 nominations total","Chris Weitz, Paul Weitz","Nick Hornby, Peter Hedges, Chris Weitz","Hugh Grant, Nicholas Hoult, Toni Collette","Comedy, Drama, Romance","Universal Pictures, StudioCanal, Tribeca Productions","UK, USA, France, Germany",PG-13,7.1,183887,"$30,000,000 (estimated)","$8,557,630","$41,385,278","$130,549,455"
6,tt0095863,Phantasm II,1988,97,"Awards, 3 nominations",Don Coscarelli,Don Coscarelli,"James Le Gros, Reggie Bannister, Angus Scrimm","Action, Fantasy, Horror","Spacegate Productions, Starway International Inc., Universal Pictures",USA,R,6.4,15382,"$3,000,000 (estimated)","$3,012,285","$7,282,851","$7,282,851"
7,tt0071746,Lenny,1974,111,"Nominated for 6 Oscars, 7 wins & 16 nominations total",Bob Fosse,Julian Barry,"Dustin Hoffman, Valerie Perrine, Jan Miner","Biography, Drama",Marvin Worth Productions,USA,R,7.6,16226,,,"$8,427,866",
8,tt0092086,Three Amigos!,1986,104,,John Landis,"Steve Martin, Lorne Michaels, Randy Newman","Steve Martin, Chevy Chase, Martin Short","Comedy, Western","L.A. Films, Home Box Office (HBO), Broadway Video",USA,PG,6.5,75631,"$25,000,000 (estimated)","$5,939,000","$39,246,734","$39,246,734"
9,tt0119311,Hoodlum,1997,130,"Awards, 7 nominations",Bill Duke,Chris Brancato,"Laurence Fishburne, Tim Roth, Vanessa Williams","Crime, Drama",United Artists,USA,R,6.3,11606,"$30,000,000 (estimated)","$8,162,768","$23,499,102","$23,499,102"
10,tt0066434,THX 1138,1971,86,"Awards, 2 wins & 3 nominations",George Lucas,"George Lucas, Walter Murch","Robert Duvall, Donald Pleasence, Don Pedro Colley","Drama, Sci-Fi, Thriller","American Zoetrope, Warner Bros.",USA,GP,6.7,51696,"$777,000 (estimated)",,"$2,437,000","$2,437,000"
11,tt0048394,Death of a Cyclist,1955,88,"Awards, 2 wins",Juan Antonio Bardem,"Juan Antonio Bardem, Luis Fernando de Igoa","Lucia Bosè, Alberto Closas, Bruna Corrà","Crime, Drama","Guión Producciones Cinematográficas, Suevia Films - Cesáreo González, Trionfalcine","Spain, Italy",Not Rated,7.7,3796,,,,
12,tt1055292,Life as We Know It,2010,114,"Awards, 2 nominations",Greg Berlanti,"Ian Deitchman, Kristin Rusk Robinson","Katherine Heigl, Josh Duhamel, Josh Lucas","Comedy, Drama, Romance","Josephson Entertainment, Gold Circle Films, Village Roadshow Pictures",USA,PG-13,6.5,132087,"$38,000,000 (estimated)","$14,506,464","$53,374,681","$105,734,416"
13,tt2994190,Camp X-Ray,2014,117,"Awards, 6 nominations",Peter Sattler,Peter Sattler,"Kristen Stewart, Payman Maadi, Lane Garrison","Drama, War","GNK Productions, Gotham Group, Rough House Pictures",USA,R,6.9,41589,"$1,000,000 (estimated)","$1,316","$13,302","$79,624"
14,tt0361841,Little Black Book,2004,107,"Awards, 1 nomination",Nick Hurran,"Melissa Carter, Elisa Bell","Brittany Murphy, Ron Livingston, Holly Hunter","Comedy, Drama, Romance","Revolution Studios, Blue Star Pictures",USA,PG-13,5.3,18293,"$35,000,000 (estimated)","$7,075,217","$20,698,668","$22,035,509"
15,tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit,2005,85,"Won 1 Oscar, 40 wins & 25 nominations total","Steve Box, Nick Park","Steve Box, Nick Park, Mark Burton","Peter Sallis, Helena Bonham Carter, Ralph Fiennes","Animation, Adventure, Comedy","Aardman Animations, DreamWorks Animation","UK, USA",G,7.5,135731,"$30,000,000 (estimated)","$16,025,987","$56,110,897","$194,137,091"
16,tt0039402,The Fugitive,1947,104,"Awards, 1 win & 2 nominations","John Ford, Emilio Fernández","Dudley Nichols, Graham Greene","Henry Fonda, Dolores del Rio, Pedro Armendáriz","Drama, History","Argosy Pictures, Productora Mex. Desconcida","Mexico, USA",Approved,6.3,2407,"$1,500,000 (estimated)",,,
17,tt0109593,Delta of Venus,1995,102,,Zalman King,"Anaïs Nin, Elisa M. Rothstein, Patricia Louisianna Knop","Audie England, Costas Mandylor, Eric da Silva",Drama,"Alliance Communications Corporation, Evzen Kolar Productions, New Line Cinema",USA,R,4.7,2186,,"$3,750","$63,174","$63,174"
18,tt4853102,Batman: The Killing Joke,2016,76,"Awards, 1 win & 2 nominations",Sam Liu,"Brian Azzarello, Brian Bolland, Bob Kane","Kevin Conroy, Mark Hamill, Tara Strong","Animation, Action, Crime","Warner Bros. Animation, DC Entertainment",USA,R,6.4,56822,"$3,500,000 (estimated)",,"$3,775,000","$4,462,034"
19,tt4464394,The Gracefield Incident,2017,89,,Mathieu Ratthe,Mathieu Ratthe,"Mathieu Ratthe, Victor Andres Turgeon-Trelles, Kimberly Laferriere","Action, Horror, Mystery",Matt Ratt Productions,"USA, Canada",PG-13,4.1,2381,,,,"$102,256"
20,tt0119465,"Kiss Me, Guido",1997,86,,Tony Vitale,Tony Vitale,"Nick Scotti, Anthony Barrile, Anthony DeSando",Comedy,"Capitol Films, Redeemable Features",USA,R,6.1,2043,"$740,000 (estimated)",,"$1,918,497","$1,918,497"
21,tt2125666,The Queen of Versailles,2012,100,"Awards, 8 wins & 27 nominations",Lauren Greenfield,,"Jaqueline Siegel, David Siegel, Lorraine Barrett",Documentary,"Evergreen Pictures, BBC Storyville, Impact Partners","USA, Netherlands, UK, Denmark",PG,7.1,13289,"$1,000,000 (estimated)","$51,326","$2,401,999","$2,495,706"
22,tt1412528,Table 19,2017,87,"Awards, 2 nominations",Jeffrey Blitz,"Mark Duplass, Jay Duplass, Jeffrey Blitz","Anna Kendrick, Lisa Kudrow, Craig Robinson","Comedy, Drama, Romance","3311 Productions, 21 Laps Entertainment, Hurwitz Creative",USA,PG-13,5.8,28879,"$5,000,000 (estimated)","$1,597,928","$3,614,896","$5,042,014"
23,tt0120177,Spawn,1997,96,"Awards, 2 wins & 6 nominations",Mark A.Z. Dippé,"Todd McFarlane, Alan B. McElroy, Mark A.Z. Dippé","Michael Jai White, John Leguizamo, Martin Sheen","Action, Drama, Horror","McFarlane Films, New Line Cinema, Pull Down Your Pants Pictures",USA,PG-13,5.2,68597,"$40,000,000 (estimated)","$19,738,749","$54,870,175","$87,840,042"
24,tt0805566,Love Exchange,2001,90,,Madison Monroe,Jin Lian,"Holly Sampson, Taylor Moore, Monique DeMoan","Drama, Romance","Surrender Cinema, Twilight Movies",USA,Unrated,5.8,69,,,,
25,tt0074483,The Enforcer,1976,96,"Awards, 2 nominations",James Fargo,"Harry Julian Fink, Rita M. Fink, Stirling Silliphant","Clint Eastwood, Tyne Daly, Harry Guardino","Action, Crime, Thriller","Warner Bros., The Malpaso Company",USA,R,6.7,45783,"$9,000,000 (estimated)",,"$46,236,000","$46,236,000"
26,tt1524930,Vacation,2015,99,"Awards, 1 win & 3 nominations","John Francis Daley, Jonathan Goldstein","Jonathan Goldstein, John Francis Daley, John Hughes","Ed Helms, Christina Applegate, Skyler Gisondo","Adventure, Comedy","BenderSpink, David Dobkin Productions, New Line Cinema",USA,R,6.1,111944,"$31,000,000 (estimated)","$14,681,108","$58,884,188","$107,228,221"
27,tt0085244,The Big Chill,1983,105,"Nominated for 3 Oscars, 3 wins & 8 nominations total",Lawrence Kasdan,"Lawrence Kasdan, Barbara Benedek","Tom Berenger, Glenn Close, Jeff Goldblum","Comedy, Drama","Columbia Pictures, Carson Productions, Delphi Films",USA,R,7.1,37779,"$8,000,000 (estimated)","$3,662,152","$56,399,659","$56,399,659"
28,tt0993779,Ricky Gervais Live 3: Fame,2007,79,,Dominic Brigstocke,Ricky Gervais,"Ricky Gervais, Robin Ince",Comedy,,UK,Not Rated,7.7,3356,,,,
